accession	label	length	mean_perplexity
P10928	viral	602	16.849163378022727
P13340	viral	157	14.214214933782761
P19385	viral	342	6.235615702922051
P32282	viral	754	6.0721151474645
P35837	viral	233	12.24172439559945
D6QY02	viral	495	13.598948915357953
P00726	viral	153	2.756938149972433
P03047	viral	207	16.076246282006288
P03736	viral	853	1.0982300301152674
P03748	viral	553	15.128990681964561
P07582	viral	220	15.653481013466921
P09176	viral	516	11.52395013589924
P12726	viral	682	16.995035407550862
P13299	viral	245	12.407152429583329
P19726	viral	345	17.001937249148295
P19822	viral	855	12.217150672555716
P25478	viral	284	4.373535634184466
P69546	viral	410	17.328170775666372
Q6X3W5	viral	245	15.874673376586674
Q77WP1	viral	631	15.889584985311295
Q8SCY7	viral	270	18.872430981948735
Q9AYZ3	viral	233	14.463210373362472
Q9T1X2	viral	171	8.841596321051048
A0A2H5BHJ6	viral	387	14.363766966158934
B3VMP4	viral	280	14.682106886510573
B7SSM2	viral	572	14.866860200463568
H9C180	viral	116	15.682139739132124
O03979	viral	296	8.318009513769383
O48449	viral	264	12.770800329522139
P03610	viral	393	18.350870804413557
P03666	viral	426	8.938844430336749
P03738	viral	232	2.4723662447500008
P04525	viral	228	16.891887659879412
P04535	viral	521	15.098624734547942
P04893	viral	162	17.584028933257095
P08764	viral	970	5.738261342235197
P08773	viral	246	18.35348297787202
P09386	viral	89	14.527508459468079
P10104	viral	487	13.234415267275326
P10149	viral	315	16.678027912431673
P13848	viral	98	14.42256388537487
P17172	viral	391	18.13594809849907
P20315	viral	566	9.045392277445787
P20331	viral	151	7.506345573158892
P22884	viral	371	6.573839142804394
P23848	viral	129	15.493448266011814
P23992	viral	160	13.426200016059667
P27360	viral	71	14.144732573680614
P31340	viral	211	3.24896737919753
Q331T7	viral	358	14.95331727465753
Q4ZD58	viral	486	14.535920582640799
Q6QGD2	viral	438	10.28077876410282
Q71AW2	viral	264	16.757029701960057
Q71TL0	viral	754	1.2601176515879033
Q7LYX0	viral	284	12.048854153722761
Q8SDS7	viral	481	12.635863466469893
A0A1P8CWZ3	viral	295	17.03055930498648
A0A219YHC0	viral	792	14.832475494515476
A0A2H5BHG9	viral	203	17.140147376103947
A0A2L0V156	viral	194	15.87206206760584
A0A9Y1YY28	viral	400	16.250402003895648
A7XXC2	viral	409	17.46999500951619
D1L2Y9	viral	186	17.56849053478882
D3WAC1	viral	540	13.422109690282227
D3WAC5	viral	393	15.24478082661624
M1EAP5	viral	152	17.664875210316595
O48400	viral	77	15.817878063731905
O48448	viral	134	17.66108093522772
O55246	viral	95	17.364891956219864
O64191	viral	120	17.473681575113563
O64204	viral	141	14.133045408100744
O64301	viral	320	11.124852781583247
O80288	viral	167	4.62120229026653
O80299	viral	353	10.028175715418708
P03614	viral	130	16.56239669948025
P03660	viral	421	17.782423837015834
P03686	viral	166	14.797750470042143
P03688	viral	333	9.60323462002164
P03696	viral	232	15.865978249145822
P03732	viral	131	15.405950750045712
P03734	viral	140	17.78922131121877
P03781	viral	196	18.55744874003243
P04522	viral	560	8.212286212192254
P04529	viral	391	10.561113185853184
P04532	viral	80	13.5806296287948
P04533	viral	152	17.323635138445464
P04547	viral	351	15.17306054007015
P06225	viral	648	3.1532361496126784
P06951	viral	266	15.89856596472374
P07606	viral	279	6.508226690689557
P07876	viral	260	13.25850918905051
P08231	viral	251	15.625828356690333
P11107	viral	450	12.847061773937634
P13332	viral	659	16.019295041562675
P13333	viral	163	18.22759577314662
P13339	viral	364	16.25387383510304
P15075	viral	150	14.697128154414663
P15316	viral	371	13.70936513080817
P15419	viral	344	18.229594949614953
P16117	viral	95	7.340698138434916
P16938	viral	475	18.096517712693284
P19060	viral	660	16.609434141615345
P22536	viral	340	13.81442846360906
P25426	viral	333	6.690244242321363
P32267	viral	90	15.114843305437912
P33486	viral	202	12.970924623510005
P36273	viral	501	5.535356051753675
P42540	viral	289	10.71132306791091
P46083	viral	146	13.859181999865287
P68930	viral	293	16.052599515089312
P69532	viral	112	15.20562797451833
Q00901	viral	244	16.88698709827345
Q09YD1	viral	71	16.367304252721958
Q38036	viral	117	17.167176539565357
Q38100	viral	131	18.20260285891877
Q38162	viral	77	16.368221311726938
Q38424	viral	698	17.094997669494568
Q38442	viral	308	16.576701416881093
Q38504	viral	124	15.532046075315389
Q38582	viral	324	17.06313453951999
Q6H952	viral	351	2.1132326451604904
Q6R6U4	viral	227	17.63146646488375
Q8LTE1	viral	329	17.214277491540646
Q9T216	viral	244	18.28167672295638
Q9ZX92	viral	237	8.70973691560439
A0A0A8J8S8	viral	651	15.87767880580181
A0A0U3C9T3	viral	641	15.765491469831856
A0A0U3DL17	viral	793	14.240374426671751
A0A1C8HPQ3	viral	93	17.638332393153092
A0A385DT68	viral	806	16.67246592402494
A0A5P1KKQ4	viral	793	14.30529160149137
A0A7U3TBV6	viral	359	15.560144877338612
A0A868BQY3	viral	152	15.822136407443075
F8WQ30	viral	637	17.547496985390257
M1EBB2	viral	249	14.874447442229384
O21946	viral	113	16.494368948058813
O48446	viral	109	18.469910352564952
O55247	viral	440	13.80025342887324
O64235	viral	607	8.60546232549451
O64238	viral	235	5.929387596767748
P03042	viral	97	17.18915349233342
P03049	viral	83	13.128681957610235
P03634	viral	120	17.418394085040397
P03641	viral	427	18.106064005582972
P03646	viral	328	12.85972117008027
P03697	viral	226	11.650715158869515
P03714	viral	117	15.983426222881993
P03733	viral	246	12.536986377848617
P04331	viral	599	17.357031661422024
P04445	viral	99	10.962454150644694
P06812	viral	266	15.901647950892654
P07075	viral	156	6.890378863616248
P08232	viral	251	14.897509449321282
P08320	viral	439	3.1733650258596913
P09797	viral	302	15.503975836005688
P09915	viral	503	6.228934398447819
P0DJY5	viral	177	15.119928924316975
P0DTD9	viral	438	17.024364258944836
P0DTN7	viral	907	15.200180118440816
P0DTN8	viral	907	15.147361621972037
P10439	viral	165	4.3446492322304575
P10929	viral	219	17.012001206456024
P11126	viral	769	17.45397477989959
P11187	viral	258	5.575292640983723
P11188	viral	131	15.807472765839815
P13319	viral	305	15.528609952340506
P13331	viral	176	17.677830734750835
P13849	viral	448	16.518394732394732
P15418	viral	365	10.316044673051852
P27378	viral	591	17.504312196614187
P37317	viral	385	4.398800214668946
P41064	viral	694	4.885740581001999
P49859	viral	424	8.015179758065324
P51719	viral	298	9.068056187342734
P54307	viral	147	9.000966004097668
P68928	viral	145	7.387358026597993
P69542	viral	87	17.681948999025874
P69545	viral	410	17.356750263462928
P85500	viral	667	12.247495935728473
P85501	viral	917	7.694159543607679
Q05259	viral	243	5.514747966135198
Q37873	viral	120	17.44058036904369
Q37886	viral	100	16.700258592316594
Q37896	viral	263	5.444479998298756
Q37975	viral	96	15.01988372006473
Q38061	viral	449	17.61996477546387
Q38156	viral	238	15.835669628393347
Q38361	viral	374	6.406747808021981
Q38433	viral	698	17.170099171639546
Q6QGD6	viral	164	10.306987717899833
Q6QGJ5	viral	279	6.096775349828461
Q6QGP7	viral	137	11.66041353009279
Q6XQ98	viral	162	10.89517952512523
Q7Y2D9	viral	816	14.822782025322095
Q853W0	viral	282	7.2252312183815075
Q8SD42	viral	747	17.49842875751672
Q8W5V1	viral	617	16.314175420655893
Q9G0B4	viral	259	14.964544575382847
Q9LBR5	viral	623	15.318092747083773
Q9MCC1	viral	301	16.48990216027352
Q9MCD0	viral	170	16.34597275173249
Q9MCN8	viral	120	15.161637035108408
Q9T1T5	viral	146	5.023491710477248
Q9T1W1	viral	305	7.729310236636234
Q9ZXB7	viral	177	2.2009239484435312
A0A2H5BHG5	viral	385	18.548765595294867
A0A2L0V130	viral	367	14.178151679477116
A0A385DV85	viral	842	15.104688002490123
A0A3T0ZBY1	viral	792	15.023074747216516
D1L2W4	viral	192	18.016118380960563
D3WAD3	viral	298	17.270601127336594
E5EYS5	viral	150	18.16811216019418
O21945	viral	117	16.883307578475602
O64333	viral	243	2.313450723533989
O64362	viral	178	2.876121650817047
O80292	viral	167	4.281479448727377
O80302	viral	322	18.27209011631048
P00471	viral	286	5.319502609943749
P00513	viral	359	16.75440506953
P00641	viral	149	9.251884769019995
P03006	viral	458	6.257576220300813
P03620	viral	82	14.099030056727765
P03624	viral	483	15.33297139242909
P03665	viral	426	8.947008469709912
P03699	viral	72	17.047393924830047
P03729	viral	199	1.535574110962706
P03772	viral	221	4.2272697457808786
P03775	viral	117	16.056316193352696
P04519	viral	400	16.576855553148018
P04520	viral	342	14.409506530921876
P04521	viral	339	12.251207856977178
P06956	viral	343	10.628858862387256
P07535	viral	309	17.770425408624227
P07537	viral	854	13.019102397136018
P07540	viral	258	5.562706875564543
P07693	viral	152	18.782049894119577
P07717	viral	346	13.852165472120436
P09425	viral	132	12.179369084145588
P0DTK6	viral	291	18.191513610402595
P0DTL7	viral	113	15.042626069060923
P10311	viral	186	3.045489146890569
P10479	viral	553	15.644672050474163
P10930	viral	527	14.678221859970009
P11109	viral	612	12.417231795316436
P11156	viral	388	6.3512636514495755
P18056	viral	376	10.216540126493376
P19062	viral	334	18.85986345861608
P19896	viral	427	16.513563154612303
P20709	viral	354	9.192098088648711
P22535	viral	395	16.34394244517916
P27077	viral	380	5.281139524078339
P30314	viral	924	12.197621438870225
P36932	viral	337	4.389843009941694
P39504	viral	117	14.343562416763918
P41063	viral	146	16.668030385534887
P57020	viral	207	15.675975482638716
P62692	viral	226	14.487482597783895
P69202	viral	216	4.920748627816089
P79679	viral	118	17.759925485716515
Q01076	viral	471	5.086606935057719
Q05254	viral	595	8.39177335516069
Q05262	viral	682	6.075235029258987
Q38199	viral	197	3.419846072272083
Q38494	viral	183	12.42903795240003
Q38581	viral	64	9.791109976538467
Q3T4L9	viral	117	16.777145548310187
Q6QGE1	viral	161	17.61117862757483
Q6QGE2	viral	464	15.768607811448854
Q6QGE9	viral	949	16.550949186466926
Q6WHE1	viral	514	15.353478753591858
Q7Y4Y9	viral	244	14.290207445509049
Q856K7	viral	284	12.59379006215243
Q9LBR4	viral	146	14.225379071891266
Q9MBW4	viral	161	16.523964416351095
Q9T1V0	viral	504	3.300526961154839
Q9T1V1	viral	180	17.359465116420985
Q9T1W5	viral	512	9.86710507371702
A0A0A8JA06	viral	779	15.511877132187271
A0A8G1LR08	viral	257	9.562317777036023
A7XXB7	viral	485	11.352496064533183
B3FIW8	viral	631	16.874144471029297
B6V311	viral	89	17.482953496177185
C0HM52	viral	395	13.433321051332062
D1L2U8	viral	151	8.984973233257195
D1L302	viral	630	15.70966357314571
E1XTK6	viral	411	19.276906838737663
F8SJR0	viral	315	16.824893164108747
H9C181	viral	92	17.452859573228416
I7K316	viral	153	18.081561051229865
O48472	viral	82	16.40598626035539
O48500	viral	148	8.597021661869533
O64205	viral	254	15.317563199140686
O64332	viral	251	16.515913794635704
P03616	viral	131	17.554007951340168
P03627	viral	278	17.224044161411967
P03643	viral	175	17.22672182847904
P03655	viral	348	9.24251036966852
P03658	viral	365	10.662641539147165
P03667	viral	437	9.205131802818295
P03689	viral	233	14.115652235730234
P03709	viral	132	13.805775550780714
P03725	viral	747	15.440299082999028
P03728	viral	536	15.852082753405988
P03764	viral	774	2.6133509268722412
P04382	viral	193	14.927018934662179
P04527	viral	187	16.869232969196865
P06155	viral	402	9.6823734665243
P06950	viral	572	15.041227421889303
P06955	viral	96	16.267198443806652
P07538	viral	365	15.92038015970012
P07539	viral	131	15.813956422895005
P07659	viral	884	9.627599233654635
P08233	viral	266	14.916698197306419
P08386	viral	130	15.232424429774513
P0DOE3	viral	378	15.028570202820054
P0DTK3	viral	351	16.979904128831475
P0DW57	viral	142	18.727640676910003
P11128	viral	168	11.249147831518606
P13338	viral	112	15.679907766636886
P15415	viral	434	14.259474869648084
P15416	viral	84	13.650894568238874
P16011	viral	196	17.87381481731516
P16407	viral	357	6.507586653272138
P19088	viral	487	14.927591925121126
P19727	viral	398	16.0108146271826
P19728	viral	433	14.930934214560335
P20311	viral	704	10.851458736153193
P25129	viral	437	12.446789011327821
P25131	viral	424	1.6204453251746163
P27381	viral	227	15.335570790736893
P27753	viral	494	11.958193623252997
P31278	viral	117	16.84812296736572
P39234	viral	97	18.540223543294253
P51715	viral	173	14.85765434815431
P51728	viral	186	10.362676809299295
P68802	viral	163	13.399711836416403
P68920	viral	177	2.0166594815139236
P69547	viral	410	17.338262489052084
Q01074	viral	229	11.061741585203064
Q01267	viral	361	13.777530040654069
Q0QZ08	viral	351	2.033735545773981
Q331T6	viral	81	13.498224199121632
Q331T8	viral	239	11.995446399374169
Q37883	viral	266	16.102914529556575
Q37893	viral	860	13.498536370792445
Q37894	viral	365	16.89913842735162
Q37972	viral	367	11.386414896098124
Q38067	viral	333	5.663064396212775
Q38621	viral	62	17.453408845220963
Q3ZFI3	viral	151	8.530255370111949
Q6H956	viral	351	2.099600985347395
Q6QGE8	viral	204	16.450786963789792
Q6QGH9	viral	928	16.0401466881544
Q6QGS2	viral	114	18.024002122824477
Q6WHI1	viral	151	16.980118691391727
Q6WI70	viral	850	12.136098387118622
Q775D6	viral	381	15.462406100297974
Q7Y2C9	viral	898	15.184387664721989
Q9MBY2	viral	108	18.2581723467374
Q9T1U9	viral	175	10.94875410978574
Q9T1V2	viral	360	14.583393940866678
Q9T1V3	viral	145	16.18213941423884
A0A142F121	viral	651	15.262997608711746
A0A2H5BHJ5	viral	624	13.971624560493511
D3KFX4	viral	375	17.81274202551442
D9ICP2	viral	173	16.33596005776794
E3SEW0	viral	151	17.450363100205912
O21970	viral	639	15.495476364070232
O64131	viral	224	3.3969739228536304
O64174	viral	329	3.2735665053152725
O64203	viral	493	13.615478176110248
O64328	viral	140	17.129815657910985
P00476	viral	439	5.895177453583312
P03619	viral	74	12.723131889079369
P03702	viral	138	18.239259277838404
P03713	viral	341	18.004915226199863
P03735	viral	279	16.817978988267644
P03742	viral	372	16.194289343398072
P04890	viral	387	4.456949822862025
P06023	viral	174	15.667904682374816
P06723	viral	336	3.278465722740982
P07929	viral	120	18.183292147372928
P08794	viral	245	18.715316820327747
P09035	viral	302	15.399704133415328
P09962	viral	108	16.657983249474952
P09963	viral	146	6.268496913299201
P0DJY6	viral	328	1.7362467534146735
P0DOK7	viral	62	17.3792599486314
P0DTK4	viral	664	13.843043355647252
P0DTL0	viral	257	9.380163134618854
P10927	viral	288	16.729649106900222
P11112	viral	272	18.51756109304203
P13341	viral	320	16.673801586136868
P15853	viral	130	15.14893989142382
P17309	viral	82	16.9966765193205
P17311	viral	164	17.48446664037246
P18147	viral	906	10.549328133264309
P19386	viral	339	8.40412108464689
P21442	viral	337	5.368955088840353
P23207	viral	640	17.293052685823852
P23541	viral	135	14.507080503389648
P26746	viral	166	17.34328573972768
P27078	viral	356	6.684341069959142
P27358	viral	153	3.0146426307558025
P27359	viral	165	4.360529202451329
P27391	viral	84	17.086970297652023
P31654	viral	383	17.903482054119763
P32270	viral	439	11.400222247976743
P39230	viral	97	16.327553356214636
P39232	viral	60	20.224824811591983
P51771	viral	165	7.215651142813457
P68580	viral	705	8.097024965558537
P68586	viral	443	7.619455992793507
P69486	viral	152	17.425625730341686
P69541	viral	73	13.06053825373052
Q02582	viral	207	15.71783457981656
Q37882	viral	572	14.868295806725484
Q37895	viral	132	16.468803519673685
Q38042	viral	187	17.134733579573155
Q38617	viral	346	16.444081414532064
Q6JM09	viral	119	15.504193927257061
Q6QGT3	viral	556	17.804373374462724
Q7Y2C0	viral	160	13.418913190728144
Q7Y4H2	viral	353	2.091562144544024
Q9MCT0	viral	112	16.95948047894587
Q9T1Q3	viral	993	8.914660530839475
Q9T1W6	viral	551	4.677513616634425
A0A1L4BKP6	viral	171	14.137975964379995
A0A385DTC5	viral	97	16.191787596050357
A0A385DVU6	viral	504	18.24762786171138
A0A3S5IBH4	viral	820	17.058664208255344
A0A3T0ZBZ8	viral	850	15.348779320854064
A0A516KNH9	viral	259	9.337965676555534
A0A7U3TBV3	viral	105	14.610553333557656
A0AAE9G628	viral	264	15.79457367685978
A7XXB6	viral	171	14.073660359409889
A8E264	viral	574	16.30376238973482
A9CRA7	viral	274	16.27943552517951
B6UL32	viral	128	16.512445044632077
B6V2P4	viral	571	15.954525012853571
C9DG08	viral	261	16.810262050861102
O03978	viral	74	14.168889208718047
O21877	viral	112	17.500656720919018
O21878	viral	121	17.186272689636557
O21880	viral	91	16.481318001470747
O21883	viral	298	17.076308283117474
O22008	viral	120	11.102285453214044
O64076	viral	839	16.769451345494666
O64209	viral	173	12.317011077612912
O64252	viral	278	10.631248803774998
O64313	viral	91	15.741344744848892
O64322	viral	341	17.512527282935
O64326	viral	132	16.055642457648066
O64331	viral	115	17.225387049767264
O64334	viral	192	4.501034012069873
O80294	viral	96	17.318134483658778
P00638	viral	300	16.4920135104154
P03043	viral	97	17.237872296493702
P03044	viral	54	18.174940068905514
P03625	viral	93	13.703479704669514
P03644	viral	177	16.68488057386412
P03670	viral	88	18.031033806511754
P03704	viral	64	17.54207999584566
P03737	viral	109	17.96445477886266
P03740	viral	194	2.0761317364105443
P03802	viral	67	16.36704670496634
P05460	viral	190	16.15000619151984
P05481	viral	341	17.713231877268427
P06948	viral	56	16.17279388263239
P06949	viral	97	17.81580429542072
P06952	viral	125	18.940175840201707
P07393	viral	532	17.086139252221507
P07394	viral	390	17.74154968469879
P07531	viral	448	16.53844492183443
P07533	viral	98	14.011140486664221
P07695	viral	91	16.49552122955988
P07875	viral	262	13.567134402091636
P07879	viral	129	18.083733915743434
P07932	viral	175	17.474610629035226
P07933	viral	328	12.868468365530143
P08389	viral	174	14.534250243256404
P08795	viral	148	15.916820177663531
P0DJZ3	viral	89	12.96168131538622
P10305	viral	147	13.971641215977817
P10308	viral	557	15.407420046061105
P13302	viral	193	16.714774036504753
P13310	viral	115	15.151388882110203
P13320	viral	89	15.621231780961471
P13870	viral	229	7.62628045479448
P14113	viral	64	18.39193845665981
P15556	viral	151	18.450087319525874
P15794	viral	269	17.474660624368784
P15850	viral	153	14.523570848249316
P17637	viral	160	13.817847660509242
P19189	viral	399	15.593063561442765
P19193	viral	263	14.791838624994263
P21679	viral	389	3.8096689494523095
P25475	viral	169	17.242290928913334
P27392	viral	117	14.722761718489497
P28813	viral	397	15.013324725175835
P32276	viral	152	17.719757866864757
P39510	viral	92	16.577677637444033
P51704	viral	191	12.420823399637616
P51772	viral	67	15.234487371072573
P57022	viral	310	1.7849003212573016
P68650	viral	342	17.985985763704353
P68654	viral	182	14.032726811282112
P68662	viral	96	18.570323901952758
P68924	viral	279	16.594472093433634
P69170	viral	129	17.181434191812027
P69702	viral	122	17.767976707196002
P79677	viral	67	15.684293501176795
P85225	viral	569	16.34483481373309
P85227	viral	181	17.52415520981853
P85228	viral	147	15.178791804845298
P85989	viral	441	17.374081297270433
P85991	viral	258	9.738339248878965
Q05223	viral	326	17.20744945131256
Q05231	viral	132	14.487575858379492
Q05328	viral	254	15.803045051707421
Q37884	viral	125	19.484100424639102
Q37885	viral	122	15.705918543938447
Q37890	viral	598	17.6008399397688
Q37891	viral	308	17.853639725788472
Q37993	viral	365	17.487939447085456
Q38167	viral	244	17.595297411490368
Q38492	viral	100	15.777704735269266
Q38580	viral	214	11.954647436083476
Q38584	viral	102	17.993169921668592
Q4Z971	viral	74	15.412210924173598
Q58MU6	viral	233	16.995136706157595
Q6QGE0	viral	255	16.237772503061844
Q6QGF0	viral	688	16.08986642321453
Q6QGM3	viral	194	13.993833947964598
Q6WHH0	viral	423	17.605347415265655
Q6WI88	viral	298	17.159888500606097
Q853F7	viral	581	16.077633842921998
Q9T1S4	viral	423	17.376442570866047
Q9T1W7	viral	191	14.334571236220484
Q9XJG4	viral	162	3.5869936365407544
Q9XJR1	viral	127	17.30391603915097
Q9XJR5	viral	75	12.609864186959639
Q9XJS3	viral	634	10.553350634129814
A0A0S0N8M3	viral	286	14.163302889137661
A0A2L0V161	viral	290	16.320279348618186
A0A385DTA3	viral	104	19.402337397976765
A0A385DVC3	viral	238	16.747032731570886
A0A385DVM6	viral	114	18.692703289349886
A0A385DVT8	viral	534	15.717028904351976
A4ZFA6	viral	146	10.150357595270648
B0ZSF2	viral	518	17.70406154059463
B4YNE6	viral	310	7.7949054522429675
B7SSM6	viral	100	16.371952515526583
C9DGK1	viral	357	18.38458193214593
D3WAC2	viral	94	12.352221272004313
D3WAC7	viral	104	16.843379669746906
D6RRG1	viral	351	18.191543970791713
E1XTG9	viral	631	16.651236913934678
O21956	viral	50	15.158141910993535
O21957	viral	50	15.372224906925348
O22001	viral	56	7.917315682430441
O64094	viral	386	15.246042098516059
O64319	viral	530	4.755239281944516
O80164	viral	228	16.476564049801354
P03648	viral	103	12.51907683559296
P03668	viral	430	9.59668633790728
P03672	viral	78	18.160364552503644
P03674	viral	116	15.52027088978623
P03683	viral	66	19.00114526065962
P03693	viral	89	16.3271796524525
P03698	viral	261	12.567871359139877
P03718	viral	95	14.966731812215578
P03746	viral	196	17.369367995009547
P03751	viral	99	11.387253779452498
P03785	viral	89	16.585612055304942
P03788	viral	83	14.856892764393598
P03801	viral	88	15.818409822587672
P04538	viral	141	14.927392621597276
P06221	viral	874	14.500800759295025
P07234	viral	130	15.777753637418328
P07235	viral	76	19.7299620252108
P07534	viral	599	17.56321781010385
P07541	viral	332	16.98916517185147
P07579	viral	149	14.425301276441408
P08707	viral	192	7.4159512953083215
P08765	viral	150	17.66658100462191
P09964	viral	61	14.413110814902982
P10302	viral	83	15.831664310570643
P10393	viral	218	17.715322466598607
P10427	viral	82	6.34085484350302
P11108	viral	325	15.330789115585022
P11123	viral	161	16.18265641093724
P13121	viral	283	17.707130456977154
P14815	viral	302	12.736158038690235
P14819	viral	236	5.035455924647422
P19192	viral	596	8.444238407629213
P20323	viral	535	15.993455440232118
P20376	viral	257	16.9552313398831
P20406	viral	52	12.087343213946701
P21678	viral	169	15.94489655805336
P23214	viral	333	9.515345827950693
P26699	viral	175	11.578504559520605
P26814	viral	97	14.972695707861234
P27384	viral	126	17.845558197160884
P31281	viral	187	17.282834825763395
P39250	viral	185	18.979349262972594
P49860	viral	225	8.472101535531158
P51727	viral	78	14.426075130660134
P57021	viral	120	11.636227113172684
P68525	viral	129	13.950315158102377
P68574	viral	92	4.740079353809306
P69171	viral	130	16.64917266049042
P79680	viral	144	16.52849560064072
P85226	viral	464	17.086314420200257
P85502	viral	692	14.739237184078721
