accession	ESMC 600M	ESM3 Open	ESMC 6B	ESM3 Medium	ESM3 Large	n_models_low	mean_ppl_all_models	family	organism	protein_name
P04612	False	False	True	False	True	2	10.066770944980105	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate BH5) (HIV-1)	Protein Tat (Transactivating regulatory protein)
NP_050181.1	False	False	False	False	False	0	13.927627602632777			
Q6SWC7	False	False	False	True	False	1	12.8929449057589	Orthoherpesviridae	Human cytomegalovirus (strain Merlin) (HHV-5) (Human herpesvirus 5)	Uncharacterized protein UL2
P0C739	False	True	False	True	False	2	11.645769896901212	Orthoherpesviridae	Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)	Protein BNLF2a
Q89485	False	False	False	False	False	0	16.087916247560173	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	Truncated protein A35 homolog
P33864	False	False	False	False	False	0	17.376395911112702	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	Truncated protein OPG069 (Truncated protein E7)
P16754	False	True	False	False	False	1	15.435492651559088	Orthoherpesviridae	Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)	Uncharacterized protein UL2
P0DTC6	False	False	False	False	False	0	15.33992797712179	Coronaviridae	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	ORF6 protein (ORF6) (Accessory protein 6) (Non-structural protein 6) (ns6) (Protein X3)
F5HHY1	False	False	True	False	False	1	11.69979932166656	Orthoherpesviridae	Human herpesvirus 8 type P (isolate GK18) (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	Cytoplasmic envelopment protein 3
Q910M3	False	False	False	True	False	1	12.163920370257665	Adenoviridae	Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)	Early 3 Conserved Region 1-alpha protein (E3 CR1-alpha) (Early 3 6.7K protein) (E3-6.7k)
Q89186	False	False	False	False	False	0	12.793818916399	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	Protein A40 homolog
P33794	True	True	False	True	True	4	7.739964825524451	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	Truncated 3-beta hydroxy-5-ene steroid dehydrogenase homolog
Q89183	False	False	True	False	False	1	12.356183315216565	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	Protein A37.5 homolog
P59634	False	False	False	False	False	0	19.171934996226547	Coronaviridae	Severe acute respiratory syndrome coronavirus (SARS-CoV)	ORF6 protein (ORF6) (Accessory protein 6) (Non-structural protein 6) (ns6) (Protein X3)
Q80DP8	False	False	False	False	False	0	18.48737923005763	Hantaviridae	Andes orthohantavirus (ANDV) (Andes virus)	Non-structural protein NS-S (NSs)
P68314	False	False	True	False	False	1	11.245564961231919	Poxviridae	Vaccinia virus (strain Ankara) (VACV)	DNA-directed RNA polymerase 7 kDa subunit (EC 2.7.7.6)
Q98229	True	False	True	False	False	2	10.960253576174896	Poxviridae	Molluscum contagiosum virus subtype 1 (MOCV) (MCVI)	DNA-directed RNA polymerase 7 kDa subunit (EC 2.7.7.6)
Q9DHQ8	False	False	True	False	False	1	11.260125651864442	Poxviridae	Yaba-like disease virus (YLDV)	DNA-directed RNA polymerase 7 kDa subunit (EC 2.7.7.6)
P0DSU7	True	False	True	False	False	2	10.75536770294916	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	DNA-directed RNA polymerase 7 kDa subunit (EC 2.7.7.6)
A0A7H0DN25	False	False	False	False	False	0	16.17053518801137	Poxviridae	Monkeypox virus (MPXV)	Protein OPG053
A0A7H0DN00	True	True	False	True	False	3	8.52006023093723	Poxviridae	Monkeypox virus (MPXV)	OPG024 protein
NP_536432.1	False	False	False	False	False	0	16.76653430178223			
NP_536438.1	True	True	False	True	False	3	9.281045351562044			
P0DOE4	False	False	False	False	False	0	16.489047818956806	Pneumoviridae	Human respiratory syncytial virus A (strain S-2) (HRSV-S2)	Small hydrophobic protein (Small protein 1A)
Q4KRW6	False	False	False	False	False	0	17.176945735137792	Pneumoviridae	Human respiratory syncytial virus	Small hydrophobic protein (Small protein 1A)
Q7M6G6	False	True	False	True	False	2	12.647186733216172	Orthoherpesviridae	Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)	Uncharacterized protein US34A
Q6SVX3	False	True	False	True	False	2	12.46290559777692	Orthoherpesviridae	Human cytomegalovirus (strain Merlin) (HHV-5) (Human herpesvirus 5)	Uncharacterized protein US34A
P29887	False	False	False	False	False	0	16.88295489975889	Poxviridae	Vaccinia virus (strain L-IVP) (VACV)	Protein OPG052 (Protein F10) (Protein F8)
P0C2X5	False	False	False	False	False	0	14.094238612382076	Rhabdoviridae	Vesicular stomatitis New Jersey virus (strain Missouri subtype Hazelhurst) (VSNJV)	Protein C'
Q86609	False	False	False	False	False	0	14.825189760579075	Rhabdoviridae	Vesicular stomatitis New Jersey virus (strain Ogden subtype Concan) (VSNJV)	Protein C'
P33868	False	False	False	False	False	0	15.294623996413128	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	Protein OPG052 (Protein F8)
P21017	False	False	False	False	False	0	16.151506621671288	Poxviridae	Vaccinia virus (strain Copenhagen) (VACV)	Protein OPG052 (Protein F8)
P69359	False	False	False	False	False	0	20.323727177811918	Pneumoviridae	Human respiratory syncytial virus B (strain 18537)	Small hydrophobic protein (Small protein 1A)
O36632	False	False	False	False	False	0	18.036796576056403	Pneumoviridae	Human respiratory syncytial virus B (strain B1)	Small hydrophobic protein (Small protein 1A)
P21044	False	False	False	False	False	0	17.996373910998877	Poxviridae	Vaccinia virus (strain Copenhagen) (VACV)	Protein C13
P0DTB3	False	False	False	False	False	0	20.11208869763285	Picornaviridae	Poliovirus type 1 (strain Mahoney)	ORF2p protein
P03085	False	False	False	False	False	0	14.991407793558412	Polyomaviridae	BK polyomavirus (BKPyV) (Human polyomavirus 1)	Agnoprotein (Agno)
P17592	False	True	False	True	False	2	12.750094139444858	Adenoviridae	Human adenovirus B serotype 7 (HAdV-7) (Human adenovirus 7)	Early E3 7.7 kDa protein
P0DTP9	False	True	False	True	True	3	10.191083364786374	Poxviridae	Variola virus	Truncated interferon antagonist OPG039
P0C2X6	False	False	False	False	False	0	20.30538733210036	Rhabdoviridae	Vesicular stomatitis Indiana virus (strain Glasgow) (VSIV)	Protein C'
P0C2X1	False	False	False	False	False	0	18.400538485720702	Rhabdoviridae	Vesicular stomatitis Indiana virus (strain 98COE North America) (VSIV)	Protein C'
P0C2X2	False	False	False	False	False	0	19.946795930195954	Rhabdoviridae	Vesicular stomatitis Indiana virus (strain San Juan) (VSIV)	Protein C'
P0C2X4	False	False	False	False	False	0	17.65245794063962	Rhabdoviridae	Vesicular stomatitis Indiana virus (strain 85CLB South America) (VSIV)	Protein C'
Q86132	False	False	False	False	False	0	18.479271501031434	Rhabdoviridae	Vesicular stomatitis Indiana virus (strain Mudd-Summers) (VSIV)	Protein C'
P0C2X3	False	False	False	False	False	0	16.7480972454968	Rhabdoviridae	Vesicular stomatitis Indiana virus (strain 94GUB Central America) (VSIV)	Protein C'
P0DTB5	False	False	False	False	False	0	19.098840537838644	Picornaviridae	Coxsackievirus B3 (strain Nancy)	ORF2p protein
NP_050188.1	False	False	False	False	False	0	14.49395434243836			
P0DSW1	False	True	False	True	False	2	12.843392336803404	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	Virion membrane protein OPG139
Q76QZ9	False	False	False	False	False	0	17.50774952579767	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	Protein A37 homolog
Q7TLC7	False	True	False	False	False	1	16.560831552245208	Coronaviridae	Severe acute respiratory syndrome coronavirus (SARS-CoV)	Uncharacterized protein 14
Q64858	True	True	True	True	True	5	6.894744799300097	Adenoviridae	Human adenovirus F serotype 40 (HAdV-40) (Human adenovirus 40)	Late L2 mu core protein (Protein X) (pX) (pMu)
NP_536589.1	False	False	False	False	False	0	20.062949658365813			
NP_536606.1	True	True	True	True	True	5	7.448048476637486			
NP_536610.1	False	True	False	False	False	1	13.127594073170764			
P0DTN1	False	True	False	True	False	2	10.654684004049372	Poxviridae	Monkeypox virus (MPXV)	Virion membrane protein OPG139
P20990	False	True	False	True	False	2	10.362540213298976	Poxviridae	Vaccinia virus (strain Copenhagen) (VACV)	Virion membrane protein OPG139 (Protein P8)
P03086	False	False	False	False	False	0	17.11849885795214	Polyomaviridae	JC polyomavirus (JCPyV) (JCV)	Agnoprotein (Agno)
Q6WB96	False	False	False	False	False	0	18.084201966057424	Pneumoviridae	Human metapneumovirus (strain CAN97-83) (HMPV)	Protein M2-2
Q77NN9	False	False	False	False	False	0	19.812650796989708	Orthoherpesviridae	Varicella-zoster virus (strain Oka vaccine) (HHV-3) (Human herpesvirus 3)	Uncharacterized protein 57 (Uncharacterized ORF57 protein)
P19325	False	True	True	False	False	2	10.60233132601579	Arenaviridae	Lymphocytic choriomeningitis virus (strain Traub) (LCMV)	RING finger protein Z (Protein Z) (Zinc-binding protein)
P35986	True	True	True	False	True	4	7.876503364965359	Adenoviridae	Human adenovirus A serotype 12 (HAdV-12) (Human adenovirus 12)	Late L2 mu core protein (11 kDa core protein) (Protein X) (pX) (pMu)
P0DOS0	False	True	False	True	False	2	12.781831838532801	Poxviridae	Variola virus	Protein OPG050 (Protein F6)
P24833	False	False	False	False	False	0	13.38440943536167	Papillomaviridae	Human papillomavirus 39	Probable protein E5
P52358	False	False	True	False	False	1	11.484986406005468	Orthoherpesviridae	Human herpesvirus 7 (strain JI) (HHV-7) (Human T lymphotropic virus)	Cytoplasmic envelopment protein 3
P52586	False	True	False	True	False	2	12.149524515301604	Poxviridae	Orf virus (strain NZ2) (OV NZ-2)	Protein F9 homolog
P0DON3	False	True	False	True	False	2	11.824826400293205	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	Protein OPG058 (Protein F14)
P68708	False	True	False	False	False	1	13.274405136431573	Poxviridae	Vaccinia virus (strain Ankara) (VACV)	Protein OPG058 (Protein F14)
A0A7H0DN31	False	True	False	False	False	1	13.206928619506687	Poxviridae	Monkeypox virus (MPXV)	Protein OPG058
P29890	False	True	False	True	False	2	12.160489342911827	Poxviridae	Vaccinia virus (strain L-IVP) (VACV)	Protein OPG058 (Protein F14) (Protein F4)
P21019	False	True	False	True	False	2	12.08443223646995	Poxviridae	Vaccinia virus (strain Copenhagen) (VACV)	Protein OPG058 (Protein F14)
NP_536465.1	False	False	False	False	False	0	14.765526620106314			
NP_536613.1	False	False	False	False	False	0	16.868240535805924			
P68604	False	True	True	True	False	3	11.114878918467316	Poxviridae	Vaccinia virus (strain Copenhagen) (VACV)	Protein OPG078 (Protein I2)
M1L4Z5	False	True	True	True	False	3	10.514829288033793	Poxviridae	Monkeypox virus (MPXV)	Protein OPG078
P06792	False	True	False	True	False	2	12.070621043583586	Papillomaviridae	Human papillomavirus type 18	Probable protein E5
P14998	False	False	False	False	False	0	17.105084380174745	Polyomaviridae	BK polyomavirus (strain AS) (BKPyV)	Agnoprotein (Agno)
A0A7H0DNE1	True	True	False	True	False	3	9.813343441390243	Poxviridae	Monkeypox virus (MPXV)	Protein OPG173
P52587	True	True	False	False	False	2	11.942198855037498	Poxviridae	Orf virus (strain NZ7) (OV NZ-7)	Protein F9 homolog
P68602	False	False	False	False	False	0	16.971922207979574	Poxviridae	Vaccinia virus (strain L-IVP) (VACV)	Protein OPG050 (Protein F12) (Protein F6)
NP_694864.1	False	False	False	False	False	0	16.869568122189957			
Q9IDV3	False	True	True	True	True	4	8.964863722038903	Retroviridae	Human immunodeficiency virus type 1 group N (isolate YBF106) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P0C713	False	False	False	False	False	0	18.670807719015237	Sedoreoviridae	Rotavirus A (strain RVA/Human/Japan/AU-1/1982/G3P3[9]) (RV-A)	Non-structural protein 6 (NSP6)
A0A7H0DN24	False	False	False	False	False	0	16.687685869603506	Poxviridae	Monkeypox virus (MPXV)	Protein OPG051 (Protein F7)
P0CK51	False	False	False	False	False	0	15.647314008708568	Orthoherpesviridae	Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)	Cytoplasmic envelopment protein 3
F5H8R0	False	False	False	False	False	0	14.341893447124978	Orthoherpesviridae	Human cytomegalovirus (strain Merlin) (HHV-5) (Human herpesvirus 5)	Uncharacterized protein UL147A
P0DTB4	False	False	False	False	False	0	15.608024338426997	Picornaviridae	Human enterovirus 71 (strain USA/BrCr/1970) (EV71) (EV-71)	ORF2p protein
P26145	False	False	False	False	False	0	18.086380335173686	Orthomyxoviridae	Influenza A virus (strain A/Camel/Mongolia/1982 H1N1)	Polymerase acidic protein (RNA-directed RNA polymerase subunit P2)
A0A7H0DN23	False	False	False	False	False	0	16.206047247847565	Poxviridae	Monkeypox virus (MPXV)	Protein OPG050 (Protein F6)
P06426	False	True	False	True	False	2	11.733100990307985	Papillomaviridae	Human papillomavirus 33	Probable protein E5
NP_050258.1	False	False	False	False	False	0	18.50378783775613			
P0DTC4	False	False	True	False	False	1	11.295786115216073	Coronaviridae	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	Envelope small membrane protein (E) (sM protein)
F5HEN7	False	False	False	False	False	0	18.132395506912058	Orthoherpesviridae	Human cytomegalovirus (strain Merlin) (HHV-5) (Human herpesvirus 5)	Small capsomere-interacting protein
Q7M6N6	False	False	False	False	False	0	17.91049032570985	Orthoherpesviridae	Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)	Small capsomere-interacting protein
P52365	False	True	False	False	False	1	15.678009738005027	Orthoherpesviridae	Human herpesvirus 7 (strain JI) (HHV-7) (Human T lymphotropic virus)	Protein U62
NP_536563.1	False	True	False	True	False	2	12.150436049706812			
Q07032	False	False	False	False	False	0	18.830687103450853	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	Protein OPG128
P0CK20	False	False	False	False	False	0	20.568389716552765	Poxviridae	Vaccinia virus (strain Copenhagen) (VACV)	Protein OPG128
P26552	False	True	False	False	False	1	13.650805077630945	Papillomaviridae	Human papillomavirus 58	Probable protein E5
P59637	False	True	True	False	False	2	10.924281724602723	Coronaviridae	Severe acute respiratory syndrome coronavirus (SARS-CoV)	Envelope small membrane protein (E protein) (sM protein)
P33842	False	False	False	False	False	0	13.71552422080181	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	Protein OPG146
M1L535	False	False	False	False	False	0	17.833639654385255	Poxviridae	Monkeypox virus (MPXV)	Protein OPG128
Q6Q1S0	False	False	True	False	False	1	14.361771962994776	Coronaviridae	Human coronavirus NL63 (HCoV-NL63)	Envelope small membrane protein (E protein) (sM protein)
P19741	False	False	True	False	False	1	13.409538401495618	Coronaviridae	Human coronavirus 229E (HCoV-229E)	Envelope small membrane protein (E protein) (sM protein)
P21005	False	False	False	False	False	0	16.991768781325828	Poxviridae	Vaccinia virus (strain Copenhagen) (VACV)	Protein OPG195
P24448	False	False	False	False	False	0	13.818696821403256	Orthoherpesviridae	Human herpesvirus 6A (strain Uganda-1102) (HHV-6 variant A) (Human B lymphotropic virus)	Cytoplasmic envelopment protein 3
A0A7H0DNB8	False	True	False	False	False	1	13.117440910691911	Poxviridae	Monkeypox virus (MPXV)	Protein OPG146
P20994	False	False	False	False	False	0	15.04293318664728	Poxviridae	Vaccinia virus (strain Copenhagen) (VACV)	Protein OPG146
NP_536557.1	False	False	False	False	False	0	14.648407111243566			
P0DOT9	False	False	False	False	False	0	17.563689361887604	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	Protein OPG157 (Protein A33)
P0DXO7	False	False	False	False	False	0	16.01815463539712	Orthoherpesviridae	Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)	Late gene expression regulator BDLF3.5
P11317	True	True	False	False	False	2	12.101191301257638	Adenoviridae	Human adenovirus B serotype 3 (HAdV-3) (Human adenovirus 3)	Early E3 9.0 kDa glycoprotein
NP_536446.1	True	True	False	True	True	4	7.186407867605913			
NP_536569.1	False	False	False	False	False	0	17.586449227365637			
P69725	False	False	False	False	False	0	14.989746633673269	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate BH10) (HIV-1)	Protein Vpr (R ORF protein) (Viral protein R)
P05927	False	False	False	False	False	0	16.390931826348744	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate BH5) (HIV-1)	Protein Vpr (R ORF protein) (Viral protein R)
P60504	False	True	False	False	False	1	12.776844712555198	Orthoherpesviridae	Herpes simplex virus type 2 (strain SA8) (Simian agent 8)	ICP47 protein (Immediate-early protein IE12) (Immediate-early-5) (Infected cell protein 47) (US12 protein) (Vmw12)
Q7TLC4	True	True	False	False	False	2	12.100209656561635	Orthoherpesviridae	Cercopithecine herpesvirus 16 (CeHV-16) (Herpesvirus papio 2)	ICP47 protein (Immediate-early protein IE12) (Immediate-early-5) (Infected cell protein 47) (US12 protein) (Vmw12)
P50774	False	False	False	False	False	0	13.713572852312424	Papillomaviridae	Human papillomavirus type 70	Probable protein E5
O39920	False	False	False	False	False	0	14.557122496056715	Orthoherpesviridae	Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)	Protein UL41A
A0A7H0DNC8	False	False	False	False	False	0	17.01161432399677	Poxviridae	Monkeypox virus (MPXV)	Protein OPG157
NP_536603.1	False	False	False	False	False	0	20.29733861960327			
P0DSS2	False	True	False	False	False	1	13.188051040604796	Poxviridae	Variola virus	Protein OPG081 (Protein I5)
M1LL58	False	True	False	False	False	1	13.142297375063825	Poxviridae	Monkeypox virus (MPXV)	Protein OPG081
P20500	False	True	False	False	False	1	13.019957960961756	Poxviridae	Vaccinia virus (strain Copenhagen) (VACV)	Protein OPG081 (Protein I5)
NP_050257.1	False	False	False	False	False	0	17.991150459512568			
NP_050179.1	False	True	False	True	False	2	12.741354048172377			
P0DOQ1	False	False	False	False	False	0	16.25556648106763	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	Protein OPG051 (Protein F7)
NP_050183.1	False	True	False	False	False	1	12.821929979402913			
P14269	True	True	True	True	True	5	6.412239809381741	Adenoviridae	Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)	Pre-core protein X (pX) (11 kDa core protein) (Protein mu) (pMu) [Cleaved into: Core protein X]
Q89843	True	True	True	True	True	5	4.890694063774662	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (strain 89.6) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P12517	True	True	True	True	True	5	5.5570109088147	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate JH32) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
O70901	True	True	True	True	True	5	6.231261200972552	Retroviridae	Human immunodeficiency virus type 1 group M subtype H (isolate 90CF056) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P06424	False	False	False	False	False	0	16.194942076008296	Papillomaviridae	Human papillomavirus 33	Protein E4 (E1^E4)
F5H9W4	False	False	False	False	False	0	18.69670862463152	Orthoherpesviridae	Human herpesvirus 8 type P (isolate GK18) (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	Tripartite terminase subunit 2
P29886	False	False	False	False	False	0	16.29675384997292	Poxviridae	Vaccinia virus (strain L-IVP) (VACV)	Protein OPG051 (Protein F11) (Protein F7)
P05923	True	True	True	True	True	5	5.929672640067548	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P35966	True	False	True	True	True	4	5.834646978250788	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate YU-2) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P08803	True	True	True	True	True	5	5.657540879718139	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate CDC-451) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P18806	True	False	True	True	True	4	5.997777684249458	Retroviridae	Human immunodeficiency virus type 1 group M subtype D (isolate NDK) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P69700	True	True	True	True	True	5	5.781980599093354	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate HXB3) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P12518	True	False	True	True	True	4	6.665129838977639	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate RF/HAT3) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P19554	True	True	True	True	True	5	4.936404210394352	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate SF162) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
Q70625	True	False	True	True	True	4	5.984692576461146	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate LW123) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P08805	True	True	True	True	True	5	5.650295183543308	Retroviridae	Human immunodeficiency virus type 1 (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P05924	True	True	True	True	True	5	5.409421906835837	Retroviridae	Human immunodeficiency virus type 1 group M subtype A (isolate MAL) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P05947	True	True	True	True	True	5	4.859596668041058	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate MN) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
Q9QSQ8	True	True	True	True	True	5	6.070193559587318	Retroviridae	Human immunodeficiency virus type 1 group M subtype F1 (isolate VI850) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P12515	True	True	True	True	True	5	5.191141865279485	Retroviridae	Human immunodeficiency virus type 1 group M subtype D (isolate Z2/CDC-Z34) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P05949	True	False	True	True	True	4	6.420044060471651	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate ARV2/SF2) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
O70891	True	True	True	True	True	5	6.263027303145848	Retroviridae	Human immunodeficiency virus type 1 group M subtype F1 (isolate 93BR020) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P05948	True	True	True	True	True	5	5.997003012625813	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate SC) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P05925	True	True	True	True	True	5	5.658385995055175	Retroviridae	Human immunodeficiency virus type 1 group M subtype D (isolate ELI) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P20882	True	True	True	True	True	5	5.614588168117578	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate JRCSF) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
P68465	True	True	False	True	True	4	8.718173863466465	Poxviridae	Vaccinia virus (strain Copenhagen) (VACV)	Protein K6
P27226	False	True	False	True	False	2	12.204904994377308	Papillomaviridae	Human papillomavirus 35	Probable protein E5
P52459	False	False	False	False	False	0	15.14265539982031	Orthoherpesviridae	Human herpesvirus 6B (strain Z29) (HHV-6 variant B) (Human B lymphotropic virus)	Cytoplasmic envelopment protein 3
NP_694866.1	False	False	False	False	False	0	17.789884308873336			
