accession	label	split
P12488	viral	test
P12489	viral	test
P13180	viral	train
P14074	viral	test
P14077	viral	train
P14349	viral	test
P14353	viral	val
P15831	viral	val
P17101	viral	val
P17756	viral	train
P19553	viral	train
P20867	viral	val
P20872	viral	val
P20889	viral	train
P20893	viral	train
P20979	viral	val
P24105	viral	val
P24106	viral	train
P24738	viral	train
P24936	viral	train
P26313	viral	train
P27907	viral	test
P28276	viral	train
P31819	viral	test
P31869	viral	val
P35260	viral	test
P35938	viral	train
P35965	viral	train
P36809	viral	train
P57083	viral	test
P69332	viral	train
P69480	viral	test
P69718	viral	test
P87671	viral	train
P89079	viral	train
Q01404	viral	train
Q05127	viral	train
Q05320	viral	train
Q05322	viral	train
Q1HVC7	viral	train
Q2PIM1	viral	train
Q66810	viral	train
Q66814	viral	train
Q6I7B9	viral	train
Q6RJQ3	viral	train
Q6XT43	viral	train
Q70622	viral	train
Q70627	viral	val
Q75001	viral	train
Q75009	viral	val
Q76633	viral	train
Q76R61	viral	test
Q76V11	viral	train
Q79665	viral	train
Q83884	viral	train
Q85601	viral	train
Q89842	viral	val
Q8BAC4	viral	train
Q8JMY6	viral	val
Q8QMV9	viral	val
Q913A6	viral	val
Q91DD8	viral	train
Q98325	viral	train
Q998L9	viral	val
Q9IBI3	viral	val
Q9IDV1	viral	val
Q9IGQ6	viral	train
Q9IH62	viral	train
Q9IPJ8	viral	test
Q9PWW3	viral	val
Q9Q713	viral	val
Q9Q717	viral	train
Q9Q721	viral	train
Q9QBY4	viral	train
Q9QBZ3	viral	val
Q9QMI0	viral	val
Q9QPN3	viral	val
Q9WC57	viral	train
A4GCM0	viral	train
O12792	viral	test
O57209	viral	val
O73557	viral	train
O91534	viral	val
P03086	viral	train
P03089	viral	test
P03094	viral	train
P03107	viral	train
P03120	viral	train
P03169	viral	train
P03200	viral	train
P03234	viral	train
P03243	viral	train
P03272	viral	train
P03274	viral	val
P03346	viral	train
P03375	viral	test
P03407	viral	val
P03420	viral	test
P03421	viral	test
P03430	viral	val
P03468	viral	train
P03485	viral	val
P03491	viral	train
P03495	viral	train
P03522	viral	train
P04324	viral	val
P04499	viral	train
P04577	viral	val
P04603	viral	val
P04614	viral	train
P05880	viral	test
P05881	viral	test
P05889	viral	train
P05923	viral	train
P05960	viral	train
P06473	viral	train
P06725	viral	val
P06726	viral	train
P06821	viral	train
P07399	viral	train
P07975	viral	train
P08362	viral	train
P0C1K0	viral	train
P0C6L3	viral	train
P0DOE7	viral	train
P0DOI6	viral	train
P0DOK0	viral	train
P0DOK1	viral	train
P0DTC7	viral	test
P0DXN6	viral	test
P10211	viral	val
P10226	viral	val
P10921	viral	train
P11207	viral	train
P12450	viral	train
P12487	viral	test
P12495	viral	train
P12504	viral	test
P12520	viral	train
P14076	viral	train
P14999	viral	train
P16286	viral	test
P16766	viral	train
P16790	viral	train
P17332	viral	val
P17397	viral	val
P17399	viral	val
P17755	viral	val
P18041	viral	train
P18095	viral	train
P18799	viral	test
P19551	viral	test
P20879	viral	train
P24025	viral	val
P24741	viral	val
P24932	viral	train
P27228	viral	test
P31868	viral	val
P59632	viral	train
P59635	viral	test
P60170	viral	train
P69697	viral	train
P87666	viral	train
P90489	viral	test
Q05495	viral	test
Q05496	viral	val
Q0R5R3	viral	test
Q27ID8	viral	train
Q2F7J1	viral	train
Q2HR75	viral	val
Q2HR95	viral	train
Q2HRB6	viral	train
Q2PIK5	viral	train
Q30NQ0	viral	train
Q3ZN07	viral	test
Q4R1S8	viral	test
Q5EG65	viral	val
Q66T64	viral	test
Q6DPL2	viral	train
Q6J8F7	viral	test
Q73372	viral	test
Q76R62	viral	val
Q77372	viral	train
Q77M43	viral	test
Q786F3	viral	val
Q80DX6	viral	val
Q80IU6	viral	val
Q81105	viral	test
Q89462	viral	test
Q89853	viral	train
Q8AYW1	viral	train
Q8JN07	viral	val
Q99HS3	viral	val
Q9EMA9	viral	train
Q9IK91	viral	train
Q9IPJ6	viral	test
Q9PZT0	viral	val
Q9PZT1	viral	train
Q9Q714	viral	test
Q9QBY2	viral	test
Q9QBZ2	viral	train
Q9QBZ4	viral	test
Q9QBZ8	viral	test
Q9QSQ6	viral	val
Q9QSQ7	viral	test
Q9WC53	viral	train
Q9WC61	viral	val
Q9WMB5	viral	test
Q9YLQ9	viral	test
D3K5I7	viral	train
K9N4V7	viral	val
K9N5R3	viral	val
O41801	viral	train
O41803	viral	test
O41804	viral	val
O70632	viral	train
O70889	viral	train
O89292	viral	test
O91079	viral	train
P03071	viral	train
P03129	viral	train
P03139	viral	val
P03156	viral	val
P03165	viral	train
P03172	viral	test
P03231	viral	train
P03240	viral	test
P03255	viral	train
P03259	viral	test
P03264	viral	val
P03345	viral	train
P03349	viral	train
P03377	viral	test
P03418	viral	train
P03427	viral	train
P03428	viral	train
P03436	viral	train
P03496	viral	train
P03540	viral	test
P04592	viral	train
P04602	viral	val
P04604	viral	val
P04850	viral	train
P05133	viral	test
P05858	viral	val
P05878	viral	test
P05879	viral	test
P05887	viral	train
P05888	viral	train
P05891	viral	train
P05905	viral	train
P05928	viral	train
P06159	viral	train
P06492	viral	val
P06747	viral	test
P06788	viral	train
P08353	viral	train
P09259	viral	train
P09695	viral	train
P09727	viral	train
P0C210	viral	test
P0C2X0	viral	train
P0C573	viral	test
P0C625	viral	test
P0C6H3	viral	test
P0DOE9	viral	train
P0DSX6	viral	val
P0DTC4	viral	val
P0DTC8	viral	train
P0DTD2	viral	val
P0DW82	viral	test
P10238	viral	train
P12479	viral	val
P12506	viral	train
P12978	viral	test
P14079	viral	test
P14269	viral	train
P15133	viral	train
P16287	viral	train
P16753	viral	test
P17151	viral	train
P17398	viral	val
P18040	viral	val
P18800	viral	train
P18804	viral	train
P19545	viral	val
P21698	viral	test
P23064	viral	test
P24736	viral	train
P27913	viral	train
P27954	viral	train
P27955	viral	train
P27956	viral	train
P27957	viral	train
P27959	viral	train
P27960	viral	val
P27961	viral	val
P29838	viral	train
P29996	viral	train
P30215	viral	train
P31872	viral	test
P35959	viral	val
P35962	viral	train
P59596	viral	test
P59637	viral	val
P69726	viral	train
Q05128	viral	test
Q09SZ9	viral	test
Q0GBX8	viral	test
Q0HD59	viral	train
Q2HR80	viral	train
Q3KSP9	viral	train
Q5EP34	viral	train
Q66798	viral	train
Q66799	viral	train
Q69603	viral	val
Q6SW62	viral	test
Q6SW67	viral	train
Q6UY66	viral	train
Q6WB97	viral	train
Q6XTV0	viral	train
Q70626	viral	test
Q75008	viral	test
Q76638	viral	val
Q77377	viral	test
Q79671	viral	val
Q81871	viral	test
Q8JMZ6	viral	val
Q8JXB9	viral	val
Q8QV59	viral	train
Q913A8	viral	test
Q91C35	viral	val
Q99HR4	viral	val
Q9IDV8	viral	train
Q9IFX1	viral	test
Q9IK90	viral	test
Q9JFA8	viral	val
Q9QBY1	viral	val
Q9QBZ0	viral	test
Q9QNF7	viral	val
Q9WC60	viral	test
A4GCI7	viral	train
A4K144	viral	train
A4U6V3	viral	train
C3W5S0	viral	train
F5HB81	viral	train
O12161	viral	train
O12165	viral	val
O36307	viral	test
O36634	viral	test
O70899	viral	train
O89939	viral	train
O91083	viral	train
O91532	viral	test
P03072	viral	train
P03095	viral	train
P03126	viral	val
P03140	viral	val
P03142	viral	val
P03148	viral	test
P03170	viral	val
P03206	viral	test
P03211	viral	val
P03252	viral	train
P03254	viral	train
P03347	viral	train
P03378	viral	test
P03383	viral	test
P03404	viral	val
P03410	viral	test
P03454	viral	train
P03466	viral	train
P03519	viral	val
P04488	viral	train
P04578	viral	test
P04582	viral	test
P04591	viral	train
P04610	viral	train
P04611	viral	train
P04616	viral	test
P04618	viral	test
P05779	viral	train
P05882	viral	test
P05906	viral	train
P06436	viral	val
P06820	viral	train
P09613	viral	test
P09991	viral	train
P09992	viral	test
P0C045	viral	train
P0C1J9	viral	train
P0C1K1	viral	train
P0C1K2	viral	train
P0C1K4	viral	train
P0C205	viral	train
P0C206	viral	train
P0C6G9	viral	test
P0C746	viral	test
P0DOI5	viral	train
P0DTC3	viral	train
P0DTC5	viral	test
P0DTC6	viral	train
P0DTC9	viral	train
P11209	viral	test
P12568	viral	test
P12934	viral	val
P13285	viral	train
P13699	viral	train
P14997	viral	train
P15659	viral	train
P15832	viral	train
P16778	viral	train
P16788	viral	train
P17099	viral	test
P18094	viral	val
P18272	viral	test
P18541	viral	train
P19549	viral	test
P19552	viral	train
P20874	viral	train
P20886	viral	val
P20888	viral	test
P24937	viral	val
P24940	viral	train
P26129	viral	train
P32536	viral	val
P35961	viral	test
P59634	viral	train
P59636	viral	val
P68331	viral	val
P68978	viral	train
P69723	viral	test
P90495	viral	train
Q02317	viral	val
Q04360	viral	val
Q0GBY3	viral	test
Q27ID9	viral	val
Q2F7I8	viral	train
Q2F7I9	viral	val
Q2F7J2	viral	val
Q2PI09	viral	train
Q3YPH4	viral	test
Q3YPZ4	viral	train
Q4R1R8	viral	val
Q4R1S0	viral	test
Q67170	viral	train
Q67179	viral	train
Q67867	viral	val
Q67926	viral	val
Q68985	viral	test
Q69606	viral	val
Q6IUF7	viral	train
Q74119	viral	train
Q74230	viral	train
Q77378	viral	val
Q786F2	viral	train
Q80IU3	viral	val
Q81162	viral	val
Q82171	viral	train
Q89607	viral	val
Q8B6J8	viral	test
Q90037	viral	train
Q998M2	viral	val
Q9IDV5	viral	train
Q9J3M8	viral	train
Q9QBY9	viral	val
Q9QC00	viral	train
Q9QSR0	viral	train
Q9QSR4	viral	train
Q9WC62	viral	train
Q9WC66	viral	train
A4GBY0	viral	train
A4GCH5	viral	train
A4GCI2	viral	train
A4GCI9	viral	train
A4GCJ7	viral	train
A4GCK0	viral	train
A8C8W4	viral	train
B3EUR4	viral	val
B3SRV6	viral	train
B9UYK7	viral	test
C5IY43	viral	test
F5HGH5	viral	val
F5HI87	viral	train
O12160	viral	train
O56140	viral	train
O57173	viral	train
P03101	viral	train
P03111	viral	test
P03147	viral	test
P03149	viral	test
P03279	viral	train
P03462	viral	test
P03467	viral	train
P03471	viral	train
P03475	viral	train
P03482	viral	train
P04020	viral	test
P04494	viral	train
P04586	viral	train
P04599	viral	train
P04663	viral	val
P05950	viral	train
P05952	viral	train
P05954	viral	train
P07970	viral	train
P08492	viral	train
P09286	viral	val
P09309	viral	train
P09312	viral	test
P09766	viral	test
P0C1K5	viral	train
P0C1L8	viral	train
P0C1P2	viral	train
P0C1P4	viral	train
P0C212	viral	test
P0C215	viral	train
P0C5T2	viral	train
P0C679	viral	val
P0C697	viral	test
P0C6I2	viral	test
P0C6I3	viral	test
P0C6I6	viral	test
P0C6M1	viral	train
P0CK51	viral	train
P0DOQ5	viral	train
P0DSU6	viral	train
P0DSV8	viral	val
P0DXO5	viral	val
P10448	viral	test
P11198	viral	train
P11199	viral	train
P11235	viral	train
P12508	viral	test
P12537	viral	train
P13170	viral	train
P13201	viral	train
P13873	viral	test
P15130	viral	train
P16511	viral	val
P16733	viral	train
P16845	viral	train
P16848	viral	train
P17382	viral	train
P17386	viral	test
P17387	viral	train
P17393	viral	val
P18092	viral	train
P18875	viral	train
P19762	viral	train
P20505	viral	train
P20868	viral	train
P21030	viral	train
P21082	viral	test
P21700	viral	train
P22092	viral	test
P24835	viral	train
P24939	viral	train
P25224	viral	train
P26101	viral	train
P26103	viral	train
P26118	viral	val
P27021	viral	train
P27024	viral	train
P27220	viral	train
P27400	viral	test
P28883	viral	train
P30031	viral	train
P31348	viral	train
P33483	viral	train
P33815	viral	val
P35966	viral	train
P36295	viral	train
P36346	viral	train
P36720	viral	train
P36724	viral	train
P36727	viral	val
P43257	viral	train
P48309	viral	train
P50758	viral	test
P50763	viral	train
P68340	viral	train
P68761	viral	train
P68762	viral	train
P69713	viral	train
P87691	viral	train
P89445	viral	val
Q01641	viral	train
Q02048	viral	test
Q02049	viral	test
Q05111	viral	test
Q0A2G9	viral	train
Q0A2H5	viral	train
Q0A2K9	viral	train
Q0A2Q7	viral	train
Q0R5R4	viral	train
Q1HVF7	viral	val
Q1K9E2	viral	train
Q1PDC7	viral	train
Q289M0	viral	train
Q289M6	viral	train
Q2RFA3	viral	train
Q2VC95	viral	train
Q2VND0	viral	train
Q2VNF0	viral	train
Q30NP8	viral	train
Q3HM40	viral	val
Q67212	viral	train
Q67371	viral	train
Q67374	viral	train
Q67381	viral	val
Q67878	viral	val
Q69572	viral	train
Q6DNS3	viral	val
Q6DNS5	viral	val
Q6DPT9	viral	train
Q6DQ21	viral	train
Q6DQ22	viral	train
Q6IVU5	viral	train
Q6J8F6	viral	train
Q6Q1R8	viral	train
Q710U6	viral	train
Q75003	viral	train
Q75VQ0	viral	train
Q77374	viral	train
Q77ZJ9	viral	train
Q7T9E0	viral	train
Q80922	viral	test
Q809L9	viral	val
Q809U7	viral	train
Q81020	viral	train
Q81102	viral	test
Q81165	viral	val
Q82030	viral	train
Q82506	viral	train
Q84293	viral	test
Q88918	viral	test
Q89843	viral	train
Q8B0H6	viral	train
Q913A7	viral	val
Q91DD7	viral	train
Q91DH7	viral	train
Q91MA9	viral	train
Q99HS4	viral	val
Q9E6S6	viral	test
Q9EA41	viral	val
Q9PX62	viral	val
Q9Q0L9	viral	train
Q9QBF0	viral	val
Q9QBF1	viral	val
Q9QSR2	viral	train
Q9WAA1	viral	train
Q9WAI7	viral	train
Q9WAK4	viral	train
Q9WC64	viral	train
Q9WCD8	viral	train
Q9WCE3	viral	train
A3DRP0	viral	train
A4GCJ3	viral	train
A4GCL6	viral	val
A4K143	viral	train
A4U6V9	viral	train
A4U7A6	viral	train
A4U7B3	viral	train
A8C8J5	viral	train
A8C8W3	viral	train
B3SRR1	viral	train
B4URD9	viral	train
D4N3P2	viral	train
F5HAK9	viral	train
F5HDD0	viral	train
F5HF47	viral	train
K9N7A1	viral	train
O09800	viral	train
O56850	viral	train
O57187	viral	test
O57203	viral	train
O91533	viral	val
P03088	viral	test
P03180	viral	train
P03198	viral	test
P03228	viral	val
P03247	viral	test
P03267	viral	train
P03432	viral	val
P03440	viral	train
P03441	viral	train
P03460	viral	test
P03493	viral	train
P03535	viral	train
P04291	viral	train
P04543	viral	train
P04598	viral	train
P04620	viral	test
P04876	viral	val
P04877	viral	val
P04884	viral	train
P05899	viral	val
P06920	viral	test
P07299	viral	val
P07973	viral	train
P08013	viral	test
P08803	viral	train
P09251	viral	train
P09345	viral	train
P09713	viral	test
P09715	viral	train
P09767	viral	test
P0C1K6	viral	test
P0C676	viral	val
P0C677	viral	test
P0C683	viral	test
P0C688	viral	val
P0C690	viral	val
P0C694	viral	test
P0C6H7	viral	test
P0C6H8	viral	test
P0C6L9	viral	train
P0C6M3	viral	train
P0C767	viral	test
P0C788	viral	test
P0DOE0	viral	train
P0DOO4	viral	train
P10193	viral	test
P10228	viral	val
P10230	viral	train
P11196	viral	train
P11236	viral	train
P12440	viral	train
P12442	viral	train
P12519	viral	train
P12579	viral	test
P12590	viral	val
P12933	viral	val
P13173	viral	train
P13174	viral	train
P13177	viral	train
P13291	viral	train
P13292	viral	test
P13294	viral	train
P13843	viral	test
P16199	viral	test
P16507	viral	val
P16509	viral	val
P16749	viral	train
P16794	viral	train
P17003	viral	train
P17004	viral	train
P17394	viral	val
P17753	viral	train
P17881	viral	test
P18806	viral	train
P18876	viral	train
P18881	viral	train
P19106	viral	train
P20540	viral	train
P20883	viral	train
P23041	viral	test
P24023	viral	test
P24024	viral	val
P24933	viral	train
P25880	viral	train
P26094	viral	train
P26098	viral	train
P26102	viral	train
P26122	viral	train
P26542	viral	test
P27953	viral	val
P28885	viral	train
P28986	viral	val
P29178	viral	test
P29885	viral	val
P30005	viral	train
P35254	viral	train
P35964	viral	train
P35973	viral	val
P36725	viral	train
P37318	viral	train
P39033	viral	train
P50761	viral	train
P50762	viral	test
P50764	viral	train
P67907	viral	test
P69359	viral	val
P69700	viral	train
Q02381	viral	test
Q03816	viral	test
Q04611	viral	test
Q05133	viral	val
Q07FI4	viral	train
Q0A2R1	viral	train
Q1K9Q1	viral	train
Q1K9Q5	viral	val
Q1PUD1	viral	val
Q1PUD6	viral	train
Q289M4	viral	train
Q2ICQ2	viral	val
Q2ICQ3	viral	train
Q2RF98	viral	val
Q2RF99	viral	train
Q2RFA5	viral	train
Q2VC90	viral	train
Q2VNC6	viral	train
Q2VND2	viral	train
Q38SQ1	viral	train
Q3KSU1	viral	val
Q3YPY8	viral	train
Q3ZK58	viral	train
Q4R1S6	viral	val
Q4TWH9	viral	test
Q5MQD1	viral	train
Q66800	viral	train
Q67206	viral	train
Q67333	viral	train
Q67344	viral	train
Q67380	viral	train
Q69602	viral	val
Q69605	viral	val
Q6DNQ9	viral	val
Q6DPI6	viral	train
Q6DPJ8	viral	train
Q6DPK1	viral	train
Q6DPQ1	viral	train
Q6DPQ7	viral	train
Q6DPU1	viral	train
Q6I7C2	viral	train
Q6J835	viral	train
Q6LEJ4	viral	train
Q6SW81	viral	train
Q6UY71	viral	train
Q6V1Q9	viral	train
Q6XTB6	viral	train
Q6XTM7	viral	train
Q6XTN2	viral	train
Q6XU12	viral	train
Q6XUA7	viral	train
Q75VQ4	viral	train
Q77M19	viral	train
Q79667	viral	train
Q80957	viral	train
Q809M3	viral	val
Q809V2	viral	train
Q809V4	viral	train
Q80IU4	viral	val
Q80IU7	viral	val
Q82028	viral	train
Q82035	viral	train
Q82571	viral	val
Q8JMZ7	viral	val
Q8JN08	viral	val
Q8JPY1	viral	test
Q8QPL1	viral	train
Q90021	viral	test
Q910D6	viral	val
Q91C36	viral	val
Q91DH8	viral	train
Q91E93	viral	train
Q99HR5	viral	val
Q9EA39	viral	train
Q9IDV7	viral	train
Q9IGQ0	viral	train
Q9Q9G3	viral	train
Q9QAB8	viral	val
Q9QAB9	viral	test
Q9QAW8	viral	val
Q9QMI1	viral	val
Q9QNA6	viral	train
Q9QSP3	viral	test
Q9WLS3	viral	val
Q9YJN7	viral	train
A0A7H0DNB6	viral	train
A3DRP3	viral	train
A3DRP7	viral	train
A4GCL5	viral	train
A4GCM6	viral	train
A4GCM7	viral	val
A8C8J7	viral	train
A8C8X0	viral	train
B2C4J2	viral	train
B3EUR3	viral	train
B3SRQ8	viral	train
D5LX53	viral	train
F5HFQ0	viral	test
O39842	viral	train
O40619	viral	test
O57179	viral	val
O89749	viral	val
O89941	viral	train
O90299	viral	val
O91742	viral	train
O91745	viral	train
P03113	viral	test
P03158	viral	val
P03182	viral	train
P03212	viral	val
P03250	viral	train
P03253	viral	train
P03402	viral	test
P03438	viral	train
P03453	viral	train
P03461	viral	test
P03463	viral	test
P03464	viral	test
P04288	viral	test
P04294	viral	train
P04295	viral	train
P04612	viral	test
P05898	viral	train
P06420	viral	test
P06421	viral	train
P06462	viral	val
P06487	viral	train
P06764	viral	train
P06790	viral	val
P07967	viral	train
P07971	viral	train
P07974	viral	train
P08327	viral	train
P08666	viral	val
P09256	viral	train
P09258	viral	train
P09343	viral	train
P09344	viral	train
P09729	viral	train
P09765	viral	test
P0C1L9	viral	train
P0C213	viral	test
P0C575	viral	train
P0C5T6	viral	train
P0C695	viral	test
P0C6H4	viral	test
P0C6L7	viral	train
P0C6M2	viral	train
P0C6M4	viral	train
P0C6M6	viral	train
P0C6M8	viral	train
P0C6M9	viral	train
P0C739	viral	train
P0CK53	viral	train
P0DOJ1	viral	val
P10200	viral	train
P10215	viral	train
P10233	viral	train
P10757	viral	test
P11133	viral	train
P11134	viral	train
P11485	viral	train
P12446	viral	train
P12503	viral	train
P12518	viral	train
P12538	viral	test
P12589	viral	train
P13168	viral	train
P13175	viral	train
P13176	viral	train
P13202	viral	train
P13287	viral	val
P13874	viral	test
P14075	viral	test
P14241	viral	test
P14334	viral	train
P14345	viral	test
P15682	viral	train
P16195	viral	test
P16201	viral	test
P16203	viral	test
P16207	viral	test
P16285	viral	test
P16288	viral	test
P16495	viral	test
P16508	viral	val
P17005	viral	train
P17100	viral	val
P17150	viral	train
P17395	viral	val
P18805	viral	train
P19475	viral	test
P19554	viral	train
P19847	viral	train
P20890	viral	test
P21701	viral	train
P22153	viral	train
P24737	viral	train
P24935	viral	test
P24938	viral	train
P26096	viral	train
P26099	viral	train
P26100	viral	train
P26139	viral	train
P26140	viral	train
P26143	viral	val
P27025	viral	train
P27026	viral	train
P27551	viral	train
P27588	viral	test
P29997	viral	train
P30030	viral	train
P30927	viral	train
P30928	viral	train
P31342	viral	train
P31349	viral	train
P32540	viral	val
P33800	viral	train
P36313	viral	train
P36721	viral	test
P36730	viral	train
P50765	viral	train
P50808	viral	test
P59633	viral	train
P60173	viral	train
P67922	viral	train
P89449	viral	test
P89873	viral	train
Q02314	viral	val
Q05059	viral	test
Q06895	viral	train
Q0HD57	viral	train
Q0HD60	viral	train
Q0R5Q9	viral	test
Q0ZME8	viral	train
Q1HVJ2	viral	train
Q1K9E3	viral	val
Q2HR71	viral	test
Q2HR82	viral	train
Q2RCG8	viral	val
Q2RCG9	viral	train
Q30NQ1	viral	train
Q3KSS4	viral	val
Q3YPY7	viral	val
Q5XX07	viral	train
Q66790	viral	val
Q67143	viral	train
Q67162	viral	train
Q67372	viral	val
Q67375	viral	train
Q67379	viral	train
Q67924	viral	test
Q69559	viral	test
Q6DNY0	viral	train
Q6DPK2	viral	train
Q6DPZ9	viral	train
Q6DQ18	viral	train
Q6J8E7	viral	train
Q6SW37	viral	train
Q6SW94	viral	train
Q6SW98	viral	train
Q6SWP7	viral	train
Q6XTB1	viral	train
Q6XU19	viral	val
Q6XU35	viral	train
Q70625	viral	train
Q75007	viral	train
Q77M42	viral	test
Q788J5	viral	train
Q80909	viral	train
Q80950	viral	test
Q809J7	viral	train
Q809V0	viral	train
Q82007	viral	train
Q82033	viral	train
Q89868	viral	train
Q8B0I1	viral	train
Q8JTH2	viral	test
Q8QPK2	viral	train
Q8QV58	viral	val
Q91DH9	viral	train
Q91MA7	viral	train
Q96912	viral	train
Q9EA42	viral	train
Q9JH49	viral	train
Q9Q0U7	viral	train
Q9Q0V0	viral	val
Q9QLI9	viral	test
Q9WAI8	viral	train
A1Z0Q5	viral	test
A3RM22	viral	test
A4GBX7	viral	train
A4GBY4	viral	train
A4GCI6	viral	train
A4GCK8	viral	train
A4GCL1	viral	train
A4GCL9	viral	train
A4U6V2	viral	train
A4U6W0	viral	val
A4U7A9	viral	train
A8C8K1	viral	train
A8C8X1	viral	val
B1NKT1	viral	train
B3EUQ9	viral	train
B3SRR9	viral	train
B3SRX5	viral	train
B3SRY0	viral	train
B4URD6	viral	train
B4URE3	viral	train
C5IY46	viral	test
F5HB53	viral	train
F5HGJ3	viral	train
J3TRC5	viral	train
K9N643	viral	val
O11283	viral	train
O56774	viral	test
O70897	viral	train
O89342	viral	val
O89752	viral	train
O91081	viral	train
O91741	viral	val
O92374	viral	train
P03085	viral	train
P03114	viral	train
P03275	viral	test
P03276	viral	test
P03282	viral	train
P03434	viral	train
P03439	viral	train
P03449	viral	train
P03450	viral	train
P03455	viral	train
P03473	viral	train
P03484	viral	train
P04325	viral	test
P04486	viral	val
P04596	viral	train
P04597	viral	train
P04665	viral	train
P04849	viral	train
P04880	viral	train
P04882	viral	train
P06477	viral	val
P06481	viral	train
P06763	viral	val
P06927	viral	train
P07298	viral	train
P07966	viral	train
P08325	viral	val
P08805	viral	train
P09255	viral	test
P09263	viral	train
P09269	viral	train
P0C0U1	viral	train
P0C1C7	viral	train
P0C207	viral	train
P0C208	viral	train
P0C214	viral	train
P0C5T0	viral	train
P0C5T1	viral	train
P0C5T5	viral	train
P0C680	viral	test
P0C696	viral	test
P0C6I4	viral	test
P0C6L5	viral	train
P0C6L8	viral	train
P0C6M0	viral	train
P0C6M7	viral	train
P0C745	viral	test
P0C763	viral	test
P0DOF9	viral	train
P0DOJ3	viral	val
P10190	viral	val
P10225	viral	train
P11194	viral	train
P11200	viral	train
P12441	viral	train
P12443	viral	train
P12478	viral	train
P12517	viral	train
P12977	viral	test
P13200	viral	train
P13842	viral	train
P14998	viral	train
P16139	viral	train
P16191	viral	test
P16205	viral	test
P16506	viral	val
P17391	viral	test
P17392	viral	test
P20638	viral	val
P20993	viral	train
P21284	viral	train
P21427	viral	train
P23073	viral	train
P24103	viral	train
P24433	viral	train
P24994	viral	val
